room_type,person_capacity,bedrooms,lng,lat,City,realSum,metro_dist,attr_index_norm,rest_index_norm,host_is_superhost,biz,cleanliness_rating,guest_satisfaction_overall,dist,Crime Index,Safety Index,geo_id,lng_lat_count,dup_rank_within_pair
Entire home/apt,2.0,0,12.469,41.891000000000005,rome,133.02784466836556,1.7876573844745576,12.842215295907613,64.25726785472378,False,1,9.0,90.0,2.9692807817302196,53.11,46.89,12.469_41.891000000000005,9,1
Entire home/apt,2.0,1,12.469,41.891000000000005,rome,202.9317560143081,1.787666493980672,12.842525699810327,64.25184612517955,False,0,10.0,100.0,2.9693207274756537,53.11,46.89,12.469_41.891000000000005,9,2
Entire home/apt,2.0,1,12.469,41.891000000000005,rome,193.93075070722185,1.7876727726434911,12.842057869256884,64.25766442426658,True,0,9.0,92.0,2.969320720703016,53.11,46.89,12.469_41.891000000000005,9,3
Entire home/apt,3.0,0,12.469,41.891000000000005,rome,156.64087157786452,1.7876896413262156,12.84068581089904,64.2747451903932,False,1,9.0,87.0,2.9693187558714147,53.11,46.89,12.469_41.891000000000005,9,4
Entire home/apt,3.0,1,12.469,41.891000000000005,rome,161.5505108362752,1.7876774959477146,12.840743855222456,64.27633537793656,False,0,9.0,93.0,2.9693089638448176,53.11,46.89,12.469_41.891000000000005,9,5
Entire home/apt,4.0,1,12.469,41.891000000000005,rome,236.0133729221705,1.7876687328581562,12.84281029022257,64.24603512487509,False,0,9.0,92.0,2.969305041031434,53.11,46.89,12.469_41.891000000000005,9,6
Entire home/apt,5.0,1,12.469,41.891000000000005,rome,277.27772192738405,1.787652225619221,12.840799916130347,64.28151007719332,True,0,10.0,99.0,2.969298427808036,53.11,46.89,12.469_41.891000000000005,9,7
Private room,2.0,1,12.469,41.891000000000005,rome,124.6113202253758,1.787671522979526,12.843439120621674,64.2361262005094,True,0,10.0,94.0,2.969317621759348,53.11,46.89,12.469_41.891000000000005,9,8
Private room,3.0,1,12.469,41.891000000000005,rome,124.6113202253758,1.7876669410661998,12.843468769292617,64.23650356066604,False,1,9.0,93.0,2.969312750880936,53.11,46.89,12.469_41.891000000000005,9,9
Entire home/apt,3.0,2,-9.133,38.717,lisbon,291.8621013133208,0.2357751444646378,9.583640438177053,31.53107871030062,False,1,9.0,95.0,0.7720632882187827,29.17,70.83,-9.133_38.717,8,1
Entire home/apt,4.0,1,-9.133,38.717,lisbon,263.63156660412756,0.235773542419656,9.583587595295413,31.53101838432769,True,1,10.0,93.0,0.7720743348431695,29.17,70.83,-9.133_38.717,8,2
Entire home/apt,4.0,2,-9.133,38.717,lisbon,291.8621013133208,0.2357712817047213,9.58359748279826,31.531081235726695,False,1,10.0,95.0,0.7720703121884418,29.17,70.83,-9.133_38.717,8,3
Entire home/apt,4.0,1,-9.133,38.717,lisbon,244.13696060037523,0.2357582655524599,9.57909013398828,35.11745555438141,False,0,9.0,92.0,0.7720616165847232,29.17,70.83,-9.133_38.717,8,4
Entire home/apt,5.0,2,-9.133,38.717,lisbon,291.8621013133208,0.235772757748154,9.583638204285345,31.53113836473429,False,1,10.0,94.0,0.7720674107303529,29.17,70.83,-9.133_38.717,8,5
Entire home/apt,6.0,2,-9.133,38.717,lisbon,291.8621013133208,0.2357828858554753,9.583591795727331,31.530916672715453,False,1,10.0,94.0,0.7720715217785573,29.17,70.83,-9.133_38.717,8,6
Entire home/apt,6.0,1,-9.133,38.717,lisbon,309.0994371482176,0.2357807533482306,9.583610782880006,31.530971237024588,True,0,10.0,98.0,0.7720735949787895,29.17,70.83,-9.133_38.717,8,7
Entire home/apt,6.0,3,-9.133,38.717,lisbon,291.7448405253283,0.2357643118147751,9.583695329489132,31.531338207542397,False,0,9.0,93.0,0.772064823808365,29.17,70.83,-9.133_38.717,8,8
Entire home/apt,2.0,0,-9.145,38.712,lisbon,299.718574108818,0.4575885962560997,12.388514925232332,71.43849388041792,False,1,10.0,98.0,0.4687081258702931,29.17,70.83,-9.145_38.712,7,1
Entire home/apt,3.0,1,-9.145,38.712,lisbon,301.8292682926829,0.4575869866991654,12.382461018172537,80.72300710027321,True,1,10.0,90.0,0.4687103803385258,29.17,70.83,-9.145_38.712,7,2
Entire home/apt,3.0,1,-9.145,38.712,lisbon,251.5243902439024,0.4575862168739002,12.38240590563245,80.74554292861211,False,0,10.0,100.0,0.4686910707680746,29.17,70.83,-9.145_38.712,7,3
Entire home/apt,4.0,1,-9.145,38.712,lisbon,206.8480300187617,0.4575819637986204,12.376675066933917,89.90936484896356,True,1,10.0,96.0,0.4686846053755363,29.17,70.83,-9.145_38.712,7,4
Entire home/apt,4.0,2,-9.145,38.712,lisbon,300.187617260788,0.4575942193874857,12.38251061936533,80.65157568560252,False,1,9.0,96.0,0.4687032833582575,29.17,70.83,-9.145_38.712,7,5
Entire home/apt,5.0,2,-9.145,38.712,lisbon,344.16041275797375,0.4575869510829762,12.382424873211471,80.72647023049788,False,0,10.0,100.0,0.4686830165578544,29.17,70.83,-9.145_38.712,7,6
Entire home/apt,6.0,2,-9.145,38.712,lisbon,351.48921200750465,0.4575893550291449,12.382361709859344,80.74042265458428,True,1,10.0,95.0,0.4686835617685979,29.17,70.83,-9.145_38.712,7,7
Entire home/apt,3.0,0,-9.141,38.713,lisbon,193.48030018761727,0.195234361618908,17.357901420752754,65.84890277005474,False,1,9.0,97.0,0.1380484735042505,29.17,70.83,-9.141_38.713,7,1
Entire home/apt,4.0,2,-9.141,38.713,lisbon,321.06003752345214,0.1952250327668405,17.358350839339902,65.84836262011504,True,1,10.0,96.0,0.1380565907411478,29.17,70.83,-9.141_38.713,7,2
Entire home/apt,5.0,3,-9.141,38.713,lisbon,339.5872420262664,0.1952166562073722,17.356743617704247,65.84626219638655,True,1,10.0,95.0,0.1380391427385845,29.17,70.83,-9.141_38.713,7,3
Entire home/apt,6.0,0,-9.141,38.713,lisbon,228.07223264540335,0.1952403947866794,17.36076489545826,65.85140734738708,False,1,9.0,91.0,0.1380421657508971,29.17,70.83,-9.141_38.713,7,4
Private room,2.0,1,-9.141,38.713,lisbon,225.9322232645403,0.1952286670343422,17.358267642862998,65.84860397026164,False,1,10.0,97.0,0.1380452692524255,29.17,70.83,-9.141_38.713,7,5
Private room,4.0,1,-9.141,38.713,lisbon,291.51031894934334,0.195223847671163,17.34860150903031,73.3362053790301,False,1,10.0,100.0,0.1380563507120356,29.17,70.83,-9.141_38.713,7,6
Shared room,2.0,1,-9.141,38.713,lisbon,161.81988742964353,0.1952301572949678,17.349767196516048,73.33779588487195,False,1,10.0,93.0,0.1380558516960317,29.17,70.83,-9.141_38.713,7,7
